zone_id,name,city,latitude,longitude,geometry_method,zone_area_m2,osm_green_percent,osm_green_area_m2,osm_source,osm_method,sentinel2_mean_ndvi,sentinel2_median_ndvi,sentinel2_green_pixel_percent,sentinel2_source,sentinel2_date_from,sentinel2_date_to,sentinel2_method,worldcover_vegetation_percent,worldcover_tree_percent,worldcover_grass_percent,worldcover_shrub_percent,worldcover_cropland_percent,worldcover_source,worldcover_year,worldcover_method,copernicus_cgls_tree_cover_percent,copernicus_cgls_grass_cover_percent,copernicus_cgls_shrub_cover_percent,copernicus_cgls_crops_cover_percent,copernicus_cgls_total_vegetation_percent,copernicus_cgls_source,copernicus_cgls_year,copernicus_cgls_method,vegetation_index,confidence,sources_used,notes
alexandru_01,Alexandru cel Bun,Iasi,47.1667,27.55,centroid_buffer_radius_950_m,2835002.72,22.1816,628850.14,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.2429,0.2098,35.7275,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",45.1205,14.7027,16.7805,0.0,13.6373,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",4.3025,7.1167,1.2653,16.3185,29.0029,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.3172,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
bucium_01,Bucium,Iasi,47.11,27.65,centroid_buffer_radius_1400_m,6156903.41,32.4185,1995976.65,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.3167,0.3164,58.9974,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",94.1561,52.9908,35.6929,0.0,5.4723,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",21.9948,21.409,2.3495,40.6794,86.4328,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.6324,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
centru_01,Centru,Iasi,47.1585,27.6014,centroid_buffer_radius_900_m,2544434.57,3.2586,82913.89,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.1728,0.1568,12.6329,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",28.7043,25.7382,1.9902,0.0,0.9759,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",0.0271,0.2465,0.0109,0.1137,0.3982,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.144,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
copou_01,Copou,Iasi,47.185,27.566,centroid_buffer_radius_1300_m,5308758.55,33.6737,1787655.85,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.2935,0.3132,54.3465,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",74.6443,63.5002,10.3843,0.0,0.7584,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",20.0198,11.2845,2.4016,14.4401,48.146,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.4976,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
cug_01,CUG,Iasi,47.12,27.57,centroid_buffer_radius_1200_m,4523439.24,3.9757,179839.37,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.2358,0.2421,27.5027,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",62.2346,42.1196,15.9164,0.0,4.0722,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",8.6635,8.1032,0.9756,17.4508,35.1931,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.3465,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
dacia_01,Dacia,Iasi,47.166,27.535,centroid_buffer_radius_850_m,2269572.81,70.411,1598029.9,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.3949,0.4476,75.9325,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",84.2778,5.5829,31.3121,0.0,47.3829,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",5.3075,23.6236,4.1361,44.598,77.6653,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.6997,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
frumoasa_01,Frumoasa,Iasi,47.13,27.59,centroid_buffer_radius_900_m,2544434.57,5.9035,150209.71,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.2646,0.2871,43.1682,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",72.5569,53.1644,11.8409,0.0,7.5516,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",21.0344,13.0044,3.2216,25.5741,62.8345,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.4423,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
galata_01,Galata,Iasi,47.145,27.565,centroid_buffer_radius_1100_m,3800945.47,3.451,131172.52,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.2483,0.251,33.2421,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",62.4841,50.6003,6.111,0.0,5.7729,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",5.9375,8.1845,1.2516,15.9806,31.3542,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.3468,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
nicolina_01,Nicolina,Iasi,47.14,27.585,centroid_buffer_radius_950_m,2835002.72,3.2011,90751.65,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.1917,0.1844,15.8234,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",40.8038,31.1164,5.2278,0.0,4.4571,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",5.6285,1.809,0.3925,2.7554,10.5855,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.2109,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
pacurari_01,Pacurari,Iasi,47.175,27.54,centroid_buffer_radius_1100_m,3800945.47,22.6036,859152.33,OpenStreetMap Overpass API,polygon overlay for green OSM tags,0.2437,0.2315,33.3539,Sentinel-2 L2A via Sentinel Hub Process API,2026-02-24,2026-05-25,"NDVI = (B08 - B04) / (B08 + B04), green pixel threshold NDVI >= 0.30",54.0001,27.0763,14.7626,0.0,12.1612,ESA WorldCover v200,2021,"zonal histogram over ESA WorldCover classes 10, 20, 30, 40, 90, 95",4.0486,11.1813,2.0399,21.0014,38.2712,Copernicus Global Land Cover CGLS-LC100 via Google Earth Engine,2019,mean cover fractions over zone polygon,0.3635,high,ESA WorldCover; Sentinel-2 NDVI; OpenStreetMap; Copernicus CGLS,
